,gender,customer_type,age,type_of_travel,flight_distance,inflight_wifi_service,departure/arrival_time_convenient,ease_of_online_booking,food_and_drink,inflight_entertainment,baggage_handling,cleanliness,departure_delay_in_minutes,arrival_delay_in_minutes,satisfaction
0,Male,Loyal Customer,69,Personal Travel,5421.0,3,2,3,5,1,1,3,14.0,0.0,dissatisfied
1,Male,Disloyal Customer,41,Business travel,0.0,1,1,3,4,4,4,4,13.699978441564664,13.0743375378899,neutral
2,Male,Loyal Customer,52,Business travel,0.0,2,4,4,1,2,2,4,0.0,6.0,dissatisfied
3,Female,Disloyal Customer,21,Business travel,0.0,4,0,3,4,4,4,4,13.699978441564664,13.0743375378899,neutral
4,Female,Loyal Customer,57,Business travel,0.0,3,4,4,5,2,3,2,0.0,0.0,dissatisfied
5,Female,Loyal Customer,45,Business travel,0.0,0,0,0,3,3,3,5,0.0,21.0,satisfied
6,Female,Loyal Customer,39,Business travel,56.0,2,5,5,5,2,5,5,0.0,0.0,satisfied
7,Female,Loyal Customer,33,Business travel,56.0,4,5,4,1,4,4,2,0.0,0.0,satisfied
8,Female,Loyal Customer,10,Personal Travel,1683.5360392191503,4,3,3,4,5,4,5,-2.0,13.0743375378899,dissatisfied
9,Male,Loyal Customer,55,Business travel,67.0,5,5,5,1,5,5,2,10.0,12.0,satisfied
10,Male,Loyal Customer,59,Business travel,67.0,5,5,3,4,4,4,4,13.699978441564664,13.0743375378899,neutral
11,Female,Loyal Customer,53,Business travel,67.0,3,3,3,4,4,4,4,13.699978441564664,13.0743375378899,neutral
12,Female,Loyal Customer,56,Business travel,67.0,1,4,4,1,3,1,3,0.0,0.0,dissatisfied
13,Male,Loyal Customer,47,Business travel,67.0,5,5,5,3,4,5,2,0.0,0.0,satisfied
14,Female,Loyal Customer,54,Business travel,67.0,1,5,5,4,4,1,3,36.0,16.0,dissatisfied
15,Female,Loyal Customer,57,Business travel,67.0,0,5,0,5,5,5,2,0.0,0.0,satisfied
16,Female,Disloyal Customer,25,Business travel,67.0,2,4,2,3,3,5,3,0.0,0.0,satisfied
17,Female,Loyal Customer,51,Business travel,67.0,3,3,3,2,4,5,4,10.0,0.0,satisfied
18,Male,Loyal Customer,47,Business travel,67.0,5,5,4,2,4,5,4,0.0,0.0,satisfied
19,Female,Loyal Customer,60,Business travel,67.0,4,2,2,5,3,4,3,9.0,6.0,dissatisfied
20,Male,Loyal Customer,27,Business travel,67.0,0,5,0,3,3,1,3,0.0,8.0,satisfied
21,Female,Loyal Customer,56,Business travel,67.0,1,1,1,2,5,4,4,0.0,0.0,satisfied
22,Male,Loyal Customer,60,Business travel,67.0,4,4,4,3,5,4,5,35.0,49.0,satisfied
23,Male,Loyal Customer,43,Business travel,67.0,2,2,3,4,4,4,4,13.699978441564664,13.0743375378899,neutral
24,Female,Loyal Customer,69,Business travel,67.0,2,2,2,1,3,2,4,7.0,8.0,dissatisfied
25,Male,Loyal Customer,54,Business travel,67.0,4,4,3,4,4,4,4,13.699978441564664,13.0743375378899,neutral
26,Female,Disloyal Customer,25,Business travel,67.0,1,0,1,3,3,4,3,0.0,0.0,satisfied
27,Male,Disloyal Customer,20,Business travel,67.0,2,2,2,4,5,4,4,11.0,36.0,dissatisfied
28,Male,Disloyal Customer,19,Business travel,67.0,0,3,0,4,4,4,4,0.0,0.0,satisfied
29,Male,Loyal Customer,63,Personal Travel,67.0,2,5,2,2,3,3,5,61.0,65.0,dissatisfied
